# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan 31 08:06:14 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,st_sp,st_spstr
487,HD 218566,b,Radial Velocity,1,225.70000000,0.687300,0.300000,,,,23h09m10.73s,347.294708,-02d15m38.7s,-2.260742,29.94,8.628,4820.00,0.85,0.86,,,,5.30,K3 V
488,HD 219077,b,Radial Velocity,1,5501.00000000,6.220000,0.770000,,,,23h14m06.58s,348.527435,-62d42m00.0s,-62.700005,29.20,6.120,5362.00,1.05,1.91,,,,4.80,G8 V
489,HD 219134,b,Radial Velocity,6,3.09310000,0.038474,0.000000,,,,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.55,5.570,4913.00,0.79,0.77,,,,5.30,K3 V
490,HD 219134,c,Radial Velocity,6,6.76350000,0.064816,0.000000,,,,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.55,5.570,4913.00,0.79,0.77,,,,5.30,K3 V
491,HD 219134,d,Radial Velocity,6,46.71000000,0.235080,0.000000,,,,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.55,5.570,4913.00,0.79,0.77,,,,5.30,K3 V
492,HD 219134,f,Radial Velocity,6,22.80500000,0.145740,0.000000,,,,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.55,5.570,4913.00,0.79,0.77,,,,5.30,K3 V
493,HD 219134,g,Radial Velocity,6,94.20000000,0.375300,0.000000,,,,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.55,5.570,4913.00,0.79,0.77,,,,5.30,K3 V
494,HD 219134,h,Radial Velocity,6,2247.00000000,3.110000,0.060000,,,,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.55,5.570,4913.00,0.79,0.77,,,,5.30,K3 V
495,HD 219415,b,Radial Velocity,1,2093.30000000,3.200000,0.400000,,,,23h14m53.83s,348.724278,+56d43m49.2s,56.730328,169.78,8.940,4820.00,1.00,2.90,,,,5.00,K0 III
496,HD 219828,b,Radial Velocity,2,3.83488700,0.045000,0.059000,,,,23h18m46.74s,349.694733,+18d38m44.6s,18.645720,77.90,8.008,5891.00,1.23,1.69,,,,4.00,G0 IV
497,HD 219828,c,Radial Velocity,2,4791.00000000,5.960000,0.811500,,,,23h18m46.74s,349.694733,+18d38m44.6s,18.645720,77.90,8.008,5891.00,1.23,1.69,,,,4.00,G0 IV
498,HD 220074,b,Radial Velocity,1,672.10000000,1.600000,0.140000,,,,23h20m14.38s,350.059906,+61d58m12.5s,61.970127,289.02,6.400,3935.00,1.20,49.70,,,,6.20,M2 III
499,HD 220689,b,Radial Velocity,1,2209.00000000,3.360000,0.160000,,,,23h25m52.99s,351.470795,-20d36m57.7s,-20.616030,45.23,7.758,5921.00,1.04,1.07,,,,4.30,G3 V
500,HD 220773,b,Radial Velocity,1,3724.70000000,4.940000,0.510000,,,,23h26m27.44s,351.614349,+08d38m37.8s,8.643845,48.43,7.096,,,,,,,4.00,G0
501,HD 220842,b,Radial Velocity,1,218.47000000,0.740000,0.404000,,,,23h26m36.99s,351.654114,+56d53m11.5s,56.886528,62.50,7.990,5960.00,1.13,,,,,3.80,F8
502,HD 221287,b,Radial Velocity,1,456.10000000,1.250000,0.080000,,,,23h31m20.34s,352.834747,-58d12m35.0s,-58.209732,52.88,7.807,6304.00,1.25,,,,,3.70,F7 V
503,HD 221585,b,Radial Velocity,1,1173.00000000,2.306000,0.123000,,,,23h32m54.05s,353.225189,+63d09m19.7s,63.155483,53.59,7.465,5620.00,1.19,,,,,4.80,G8 IV
504,HD 222076,b,Radial Velocity,1,871.00000000,1.830000,0.080000,,,,23h38m07.95s,354.533112,-70d54m12.1s,-70.903358,83.50,7.459,4806.00,1.07,4.10,,,,5.00,K0 III
505,HD 222155,b,Radial Velocity,1,3999.00000000,5.100000,0.160000,,,,23h38m00.31s,354.501282,+48d59m47.5s,48.996521,50.45,7.114,5765.00,1.13,1.67,,,,4.20,G2 V
506,HD 222582,b,Radial Velocity,1,572.38000000,1.347000,0.725000,,,,23h41m51.53s,355.464722,-05d59m08.7s,-5.985757,41.95,7.680,5727.00,0.99,,,,,4.50,G5 V
507,HD 224538,b,Radial Velocity,1,1189.10000000,2.280000,0.464000,,,,23h58m51.76s,359.715668,-61d35m12.4s,-61.586773,77.76,8.060,6097.00,1.34,1.54,,,,3.90,F9 IV/V
508,HD 224693,b,Radial Velocity,1,26.73000000,0.192000,0.050000,,,,23h59m53.83s,359.974304,-22d25m41.2s,-22.428114,94.07,8.216,6037.00,1.33,1.70,,,,4.20,G2 IV
509,HD 22781,b,Radial Velocity,1,528.07000000,1.167000,0.819100,,,,03h40m49.53s,55.206356,+31d49m34.6s,31.826290,31.79,8.766,5027.00,0.75,,,,,5.10,K1
510,HD 23079,b,Radial Velocity,1,730.60000000,1.596000,0.102000,,,,03h39m43.09s,54.929562,-52d54m57.0s,-52.915836,34.60,7.120,5927.00,1.01,,,,,3.90,F8/G0 V
511,HD 23127,b,Radial Velocity,1,1214.00000000,2.400000,0.440000,,,,03h39m23.64s,54.848495,-60d04m40.2s,-60.077843,89.13,8.550,,1.13,,,,,4.20,G2 V
512,HD 231701,b,Radial Velocity,1,141.60000000,0.530000,0.100000,,,,19h32m04.16s,293.017334,+16d28m27.4s,16.474291,108.46,8.970,6208.00,1.14,1.35,,,,3.80,F8 V
513,HD 233604,b,Radial Velocity,1,192.00000000,0.747000,0.050000,,,,09h09m48.81s,137.453380,+53d34m05.6s,53.568230,,10.406,4791.00,1.50,10.90,,,,5.50,K5
514,HD 23596,b,Radial Velocity,1,1561.00000000,2.772000,0.266000,,,,03h48m00.37s,57.001556,+40d31m50.3s,40.530636,52.00,7.244,5904.00,1.16,,,,,3.80,F8 V
515,HD 240210,b,Radial Velocity,1,501.75000000,1.160000,0.150000,,,,23h10m29.23s,347.621792,+57d01m46.0s,57.029456,,8.330,4297.00,0.82,,,,,5.30,K3 III
516,HD 240237,b,Radial Velocity,1,745.70000000,1.900000,0.400000,,,,23h15m42.22s,348.925934,+58d02m35.7s,58.043240,307.69,8.190,4361.00,1.69,32.00,,,,5.20,K2 III
517,HD 24040,b,Radial Velocity,1,3668.00000000,4.920000,0.040000,,,,03h50m22.97s,57.595699,+17d28m34.9s,17.476366,46.51,7.493,5853.00,1.18,,,,,4.00,G0 V
518,HD 24064,b,Radial Velocity,1,535.60000000,1.290000,0.350000,,,,03h56m36.30s,59.151241,+74d04m48.1s,74.080032,264.40,6.750,4052.50,1.00,38.00,,,,5.00,K0
519,HD 25171,b,Radial Velocity,1,1845.00000000,3.020000,0.080000,,,,03h55m49.44s,58.956001,-65d11m12.0s,-65.186676,56.05,7.790,6160.00,1.09,1.18,,,,3.80,F8 V
520,HD 2638,b,Radial Velocity,1,3.44420000,0.044000,0.000000,,,,00h29m59.87s,7.499466,-05d45m50.4s,-5.764002,53.71,9.375,5192.00,0.93,,,,,4.50,G5
521,HD 27442,b,Radial Velocity,1,428.10000000,1.271000,0.060000,,,,04h16m29.03s,64.120956,-59d18m07.8s,-59.302155,18.24,4.440,4846.00,1.23,,,,,5.15,K1/2 III
522,HD 27631,b,Radial Velocity,1,2208.00000000,3.250000,0.120000,,,,04h19m45.47s,64.939461,-41d57m37.0s,-41.960266,44.54,8.243,5737.00,0.94,1.00,,,,4.30,G3 IV-V
523,HD 27894,b,Radial Velocity,1,17.99040000,0.125000,0.048600,,,,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835,42.37,9.349,4875.00,0.80,,,,,5.20,K2 V
524,HD 28185,b,Radial Velocity,1,385.90000000,1.032000,0.092000,,,,04h26m26.32s,66.609673,-10d33m03.0s,-10.550821,39.60,7.810,5546.00,0.98,,,,,4.50,G5
525,HD 28254,b,Radial Velocity,1,1116.00000000,2.150000,0.810000,,,,04h24m50.71s,66.211273,-50d37m19.9s,-50.622192,54.70,7.684,5664.00,1.06,1.48,,,,4.10,G1 IV/V
526,HD 285507,b,Radial Velocity,1,6.08810000,,0.086000,,,,04h07m01.22s,61.755104,+15d20m06.1s,15.335032,42.43,10.267,4503.00,0.73,0.66,,,,5.45,K4.5 V
527,HD 285968,b,Radial Velocity,1,8.78360000,0.066000,0.000000,,,,04h42m55.78s,70.732407,+18d57m29.4s,18.958172,9.42,9.970,3679.00,0.45,0.45,450,,,6.20,M2 V
528,HD 28678,b,Radial Velocity,1,387.10000000,1.250000,0.168000,,,,04h31m25.45s,67.856056,+04d34m31.0s,4.575287,168.92,8.540,5076.00,1.74,6.20,,,,4.80,G8 IV
529,HD 290327,b,Radial Velocity,1,2443.00000000,3.430000,0.080000,,,,05h23m21.56s,80.839851,-02d16m39.4s,-2.277619,56.70,8.990,5552.00,0.90,1.00,,,,4.80,G8 V
530,HD 2952,b,Radial Velocity,1,311.60000000,1.200000,0.129000,,,,00h33m10.39s,8.293311,+54d53m41.9s,54.894985,115.21,5.922,4844.00,2.54,12.02,,,,5.00,K0 III
531,HD 30177,b,Radial Velocity,2,2524.40000000,3.580000,0.184000,,,,04h41m54.37s,70.476555,-58d01m14.7s,-58.020756,54.71,8.374,5580.00,0.99,,,,,4.80,G8 V
532,HD 30177,c,Radial Velocity,2,11613.00000000,9.890000,0.220000,,,,04h41m54.37s,70.476555,-58d01m14.7s,-58.020756,54.71,8.374,5580.00,0.99,,,,,4.80,G8 V
533,HD 30562,b,Radial Velocity,1,1159.20000000,2.315000,0.778000,,,,04h48m36.38s,72.151604,-05d40m26.6s,-5.674045,26.50,5.780,5994.00,1.23,1.53,,,,3.80,F8 V
534,HD 30669,b,Radial Velocity,1,1684.00000000,2.690000,0.180000,,,,04h48m28.49s,72.118690,-28d25m09.5s,-28.419298,57.10,9.110,5400.00,0.92,0.91,,,,4.90,G9 V
535,HD 30856,b,Radial Velocity,1,912.00000000,1.800000,0.117000,,,,04h50m17.86s,72.574425,-24d22m07.8s,-24.368839,121.07,8.070,4982.00,1.35,4.20,,,,5.00,K0 III
536,HD 31253,b,Radial Velocity,1,466.00000000,1.260000,0.300000,,,,04h54m43.65s,73.681892,+12d21m07.9s,12.352201,53.82,7.133,5960.00,1.23,1.71,,,,3.80,F8
537,HD 3167,b,Transit,2,0.95962800,,,88.400,0.139,,00h34m57.52s,8.739684,+04d22m53.3s,4.381469,45.80,8.940,5370.00,0.88,0.83,1860,,1.557,5.00,K0 V
538,HD 3167,c,Transit,2,29.84540000,,,89.270,0.254,,00h34m57.52s,8.739684,+04d22m53.3s,4.381469,45.80,8.940,5370.00,0.88,0.83,500,,2.850,5.00,K0 V
539,HD 32518,b,Radial Velocity,1,157.54000000,0.590000,0.010000,,,,05h09m36.72s,77.403000,+69d38m21.9s,69.639404,117.37,6.421,4580.00,1.13,10.22,,,,5.10,K1 III
540,HD 32963,b,Radial Velocity,1,2372.00000000,3.410000,0.070000,,,,05h07m55.76s,76.982353,+26d19m40.7s,26.327963,35.24,7.600,5727.00,0.94,,,,,4.50,G5
541,HD 330075,b,Radial Velocity,1,3.38773000,0.039000,0.000000,,,,15h49m37.69s,237.407043,-49d57m48.7s,-49.963524,50.20,9.334,5017.00,0.70,,990,,,5.10,K1
542,HD 33142,b,Radial Velocity,1,326.60000000,1.060000,0.120000,,,,05h07m35.54s,76.898087,-13d59m11.3s,-13.986480,136.80,8.130,5052.00,1.48,4.20,,,,5.00,K0 III
543,HD 33283,b,Radial Velocity,1,18.17900000,0.145000,0.480000,,,,05h08m01.01s,77.004219,-26d47m50.9s,-26.797472,86.88,8.051,5995.00,1.24,1.20,,,,4.30,G3 V
544,HD 33564,b,Radial Velocity,1,388.00000000,1.100000,0.340000,,,,05h22m33.53s,80.639717,+79d13m52.1s,79.231148,20.98,5.080,6250.00,1.25,,,,,3.70,F7 V
545,HD 33844,b,Radial Velocity,2,551.40000000,1.600000,0.150000,,,,05h12m36.10s,78.150421,-14d57m04.0s,-14.951111,100.90,7.286,4861.00,1.78,5.29,,,,5.00,K0 III
546,HD 33844,c,Radial Velocity,2,916.00000000,2.240000,0.130000,,,,05h12m36.10s,78.150421,-14d57m04.0s,-14.951111,100.90,7.286,4861.00,1.78,5.29,,,,5.00,K0 III
547,HD 34445,b,Radial Velocity,1,1049.00000000,2.070000,0.270000,,,,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,5836.00,1.07,1.38,,,,4.00,G0
548,HD 35759,b,Radial Velocity,1,82.46700000,0.389000,0.389000,,,,05h31m33.35s,82.888962,+64d19m07.6s,64.318779,72.50,7.740,6060.00,1.15,,,,,4.00,G0
549,HD 3651,b,Radial Velocity,1,62.21800000,0.295000,0.596000,,,,00h39m21.81s,9.840858,+21d15m01.7s,21.250473,11.10,5.860,5221.00,0.88,,,,,5.00,K0 V
550,HD 37124,b,Radial Velocity,3,154.37800000,0.533640,0.054000,,,,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,7.700,,0.85,,,,,4.40,G4 V
551,HD 37124,c,Radial Velocity,3,885.50000000,1.710000,0.125000,,,,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,7.700,,0.85,,,,,4.40,G4 V
552,HD 37124,d,Radial Velocity,3,1862.00000000,2.807000,0.160000,,,,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,7.700,,0.85,,,,,4.40,G4 V
553,HD 37605,b,Radial Velocity,2,55.01307000,0.283100,0.676700,,,,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,42.88,8.661,5448.00,1.00,0.90,,,,5.00,K0 V
554,HD 37605,c,Radial Velocity,2,2720.00000000,3.814000,0.013000,,,,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,42.88,8.661,5448.00,1.00,0.90,,,,5.00,K0 V
555,HD 38283,b,Radial Velocity,1,363.20000000,1.020000,0.410000,,,,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341,37.78,6.696,5998.00,1.08,,,,,4.05,G0/1 V
556,HD 38529,b,Radial Velocity,2,14.30980000,0.131000,0.257000,,,,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.40,5.950,5697.00,1.48,,,,,4.40,G4 IV
557,HD 38529,c,Radial Velocity,2,2140.20000000,3.712000,0.341000,,,,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.40,5.950,5697.00,1.48,,,,,4.40,G4 IV
558,HD 38801,b,Radial Velocity,1,696.30000000,1.700000,0.000000,,,,05h47m59.18s,86.996567,-08d19m39.7s,-8.327700,99.40,8.269,5222.00,1.36,2.53,,,,4.80,G8 IV
559,HD 39091,b,Radial Velocity,1,2151.00000000,3.380000,0.640500,,,,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.21,5.650,5950.00,1.10,,,,,4.10,G1 V
560,HD 40307,b,Radial Velocity,5,4.31230000,0.046800,0.200000,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,7.170,4956.00,0.77,,,,,5.30,K3 V
561,HD 40307,c,Radial Velocity,5,9.61840000,0.079900,0.060000,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,7.170,4956.00,0.77,,,,,5.30,K3 V
562,HD 40307,d,Radial Velocity,5,20.43200000,0.132100,0.070000,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,7.170,4956.00,0.77,,,,,5.30,K3 V
563,HD 40307,f,Radial Velocity,5,51.76000000,0.247000,0.020000,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,7.170,4956.00,0.77,,,,,5.30,K3 V
564,HD 40307,g,Radial Velocity,5,197.80000000,0.600000,0.290000,,,,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,7.170,4956.00,0.77,,,,,5.30,K3 V
565,HD 40979,b,Radial Velocity,1,264.15000000,0.846000,0.252000,,,,06h04m29.94s,91.124763,+44d15m37.6s,44.260445,33.30,6.735,6089.00,1.15,,,,,3.80,F8 V
566,HD 41004 A,b,Radial Velocity,1,963.00000000,,0.740000,,,,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,43.03,8.650,5010.00,0.70,,,,,5.15,K1/K2 V
567,HD 41004 B,b,Radial Velocity,1,1.32830000,,0.081000,,,,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841,43.03,,,0.40,,,,,6.20,M2 V
568,HD 4113,b,Radial Velocity,1,526.62000000,1.280000,0.903000,,,,00h43m12.60s,10.802486,-37d58m57.5s,-37.982632,44.05,7.881,5688.00,0.99,,,,,4.50,G5
569,HD 4203,b,Radial Velocity,2,437.05000000,1.173500,0.520000,,,,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,77.82,8.687,5702.00,1.13,,,,,4.50,G5
570,HD 4203,c,Radial Velocity,2,6700.00000000,6.950000,0.240000,,,,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,77.82,8.687,5702.00,1.13,,,,,4.50,G5
571,HD 4208,b,Radial Velocity,1,828.00000000,1.650000,0.052000,,,,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680,32.70,7.780,5600.00,0.87,,,,,4.50,G5 V
572,HD 42618,b,Radial Velocity,1,149.61000000,0.554000,0.190000,,,,06h12m00.57s,93.002357,+06d46m59.1s,6.783074,23.50,6.839,5727.00,1.01,1.00,337,,,4.40,G4 V
573,HD 4308,b,Radial Velocity,1,15.56000000,0.115000,0.000000,,,,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521,21.85,6.560,5685.00,0.83,,,,,4.50,G5 V
574,HD 4313,b,Radial Velocity,1,356.00000000,1.190000,0.041000,,,,00h45m40.36s,11.418160,+07d50m42.1s,7.845021,131.41,7.822,5035.00,1.72,4.90,,,,4.50,G5
575,HD 43197,b,Radial Velocity,1,327.80000000,0.920000,0.830000,,,,06h13m35.66s,93.398590,-29d53m50.2s,-29.897270,56.30,8.980,5508.00,0.96,1.00,,,,4.80,G8 V
576,HD 43691,b,Radial Velocity,1,36.96000000,0.240000,0.140000,,,,06h19m34.68s,94.894485,+41d05m32.3s,41.092304,93.20,8.030,6200.00,1.38,,,,,4.00,G0 IV
577,HD 44219,b,Radial Velocity,1,472.30000000,1.190000,0.610000,,,,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009,50.40,7.690,5752.00,1.00,1.32,,,,4.20,G2 V
578,HD 45350,b,Radial Velocity,1,963.60000000,1.920000,0.778000,,,,06h28m45.71s,97.190460,+38d57m46.7s,38.962963,48.95,7.885,5616.00,1.02,,,,,4.50,G5 V
579,HD 45364,b,Radial Velocity,2,226.93000000,0.681300,0.168400,,,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,32.58,8.062,,,,,,,5.00,K0 V
580,HD 45364,c,Radial Velocity,2,342.85000000,0.897200,0.097400,,,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,32.58,8.062,,,,,,,5.00,K0 V
581,HD 45652,b,Radial Velocity,1,43.60000000,0.230000,0.380000,,,,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,36.14,8.127,5312.00,0.83,,,,,4.90,G8-K0
582,HD 46375,b,Radial Velocity,1,3.02357300,0.039800,0.063000,,,,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,33.41,7.912,5285.00,0.92,,,,,5.10,K1 IV-V
583,HD 47186,b,Radial Velocity,2,4.08450000,0.050000,0.038000,,,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,7.626,5675.00,0.99,,,,,4.50,G5 V
584,HD 47186,c,Radial Velocity,2,1353.60000000,2.395000,0.249000,,,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,7.626,5675.00,0.99,,,,,4.50,G5 V
585,HD 4732,b,Radial Velocity,2,360.20000000,1.190000,0.130000,,,,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,56.50,5.890,4959.00,1.74,5.40,,,,5.00,K0 IV
586,HD 4732,c,Radial Velocity,2,2732.00000000,4.600000,0.230000,,,,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,56.50,5.890,4959.00,1.74,5.40,,,,5.00,K0 IV
587,HD 47536,b,Radial Velocity,1,712.13000000,1.930000,0.200000,,,,06h37m47.62s,99.448410,-32d20m23.0s,-32.339733,121.36,5.250,4424.00,0.91,22.39,,,,5.10,K1 III
588,HD 48265,b,Radial Velocity,1,780.30000000,1.810000,0.080000,,,,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,85.40,8.050,5650.00,1.28,2.05,,,,4.50,G5 IV/V
589,HD 49674,b,Radial Velocity,1,4.94737000,0.058000,0.087000,,,,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,40.73,8.100,5662.00,1.06,,,,,4.50,G5 V
590,HD 50499,b,Radial Velocity,1,2482.70000000,3.860000,0.230000,,,,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,47.26,7.195,,1.24,,,,,4.10,G0/2 V
591,HD 50554,b,Radial Velocity,1,1293.00000000,2.353000,0.501000,,,,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.03,6.840,5987.00,1.04,1.02,,,,3.80,F8
592,HD 52265,b,Radial Velocity,1,119.60000000,0.500000,0.350000,,,,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,28.07,6.300,6060.00,1.18,1.10,405,,,4.00,G0 V
593,HD 5319,b,Radial Velocity,2,641.00000000,1.669700,0.020000,,,,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,114.00,8.050,4958.00,1.51,3.85,,,,5.30,K3 IV
594,HD 5319,c,Radial Velocity,2,886.00000000,2.071000,0.150000,,,,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,114.00,8.050,4958.00,1.51,3.85,,,,5.30,K3 IV
595,HD 5583,b,Radial Velocity,1,139.35000000,0.530000,0.076000,,,,00h57m56.70s,14.486255,+34d59m08.0s,34.985561,221.00,7.600,4830.00,1.01,9.09,,,,,
596,HD 5608,b,Radial Velocity,1,792.60000000,1.900000,0.190000,,,,00h58m14.22s,14.559246,+33d57m03.2s,33.950886,58.17,5.980,4854.00,1.55,5.50,,,,5.00,K0
597,HD 564,b,Radial Velocity,1,492.30000000,1.200000,0.096000,,,,00h09m52.82s,2.470091,-50d16m04.2s,-50.267822,53.60,8.290,5902.00,0.96,1.01,,,,4.25,G2/G3 V
598,HD 5891,b,Radial Velocity,1,177.11000000,0.760000,0.066000,,,,01h00m33.19s,15.138300,+20d17m32.9s,20.292484,150.60,8.250,4907.00,1.91,8.70,,,,4.50,G5
599,HD 59686 A,b,Radial Velocity,1,299.36000000,1.086000,0.050000,,,,07h31m48.40s,112.951653,+17d05m09.8s,17.086046,96.80,5.442,4658.00,1.90,13.20,,,,5.20,K2 III
600,HD 60532,b,Radial Velocity,2,201.90000000,0.770000,0.260000,,,,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.30,4.440,6245.00,1.50,2.57,,,,3.60,F6 IV
601,HD 60532,c,Radial Velocity,2,600.10000000,1.600000,0.030000,,,,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.30,4.440,6245.00,1.50,2.57,,,,3.60,F6 IV
602,HD 62509,b,Radial Velocity,1,589.64000000,1.640000,0.020000,,,,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,1.140,4946.00,2.10,8.31,,,,5.00,K0 III
603,HD 63454,b,Radial Velocity,1,2.81804900,0.036800,0.000000,,1.098,,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,35.80,9.370,4840.00,0.84,1.05,,,12.310,5.40,K4 V
604,HD 63765,b,Radial Velocity,1,358.00000000,0.940000,0.240000,,,,07h47m49.72s,116.957161,-54d15m50.9s,-54.264145,32.62,8.104,,,,,,,4.60,G6 IV/V
605,HD 6434,b,Radial Velocity,1,22.01700000,0.148000,0.146000,,,,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,40.32,7.710,5690.00,0.89,1.14,,,,4.25,G2/3 V
606,HD 65216,b,Radial Velocity,2,572.40000000,1.300000,0.000000,,,,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.59,7.964,5666.00,0.92,,,,,4.50,G5 V
607,HD 65216,c,Radial Velocity,2,152.60000000,0.540000,0.020000,,,,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.59,7.964,5666.00,0.92,,,,,4.50,G5 V
608,HD 66141,b,Radial Velocity,1,480.50000000,1.200000,0.070000,,,,08h02m15.94s,120.566406,+02d20m04.5s,2.334571,80.06,4.380,4323.00,1.10,21.40,,,,5.20,K2 III
609,HD 66428,b,Radial Velocity,1,1973.00000000,3.180000,0.465000,,,,08h03m28.67s,120.869438,-01d09m45.8s,-1.162709,55.04,8.258,5752.00,1.10,,,,,4.80,G8 IV (+ G)
610,HD 67087,b,Radial Velocity,2,352.20000000,1.080000,0.170000,,,,08h07m39.76s,121.915649,+31d33m04.7s,31.551319,88.81,8.050,6330.00,1.36,1.55,,,,3.80,F8 V
611,HD 67087,c,Radial Velocity,2,2374.00000000,3.860000,0.760000,,,,08h07m39.76s,121.915649,+31d33m04.7s,31.551319,88.81,8.050,6330.00,1.36,1.55,,,,3.80,F8 V
612,HD 6718,b,Radial Velocity,1,2496.00000000,3.560000,0.100000,,,,01h07m48.66s,16.952761,-08d14m01.3s,-8.233706,54.90,8.450,5746.00,0.96,1.02,,,,4.50,G5 V
613,HD 68402,b,Radial Velocity,1,1103.00000000,2.180000,0.030000,,,,08h05m23.69s,121.348717,-74d24m37.5s,-74.410416,78.00,9.110,5950.00,1.12,1.02,,,,4.50,G5 IV/V
614,HD 68988,b,Radial Velocity,1,6.27711000,0.070400,0.124900,,,,08h18m22.17s,124.592384,+61d27m38.6s,61.460724,58.82,8.200,5960.00,1.18,,,,,4.20,G2 V
615,HD 69830,b,Radial Velocity,3,8.66700000,0.078500,0.100000,,,,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,6.000,5385.00,0.86,,,,,5.00,K0 V
616,HD 69830,c,Radial Velocity,3,31.56000000,0.186000,0.130000,,,,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,6.000,5385.00,0.86,,,,,5.00,K0 V
617,HD 69830,d,Radial Velocity,3,197.00000000,0.630000,0.070000,,,,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.58,6.000,5385.00,0.86,,,,,5.00,K0 V
